x,y,gid,Name,description
-46.3944134,-23.490697,11,Ecoponto - Carlito Maia,"Rua Domingos Fernandes Nobre, nº 109. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4624155,-23.5063706,12,Ecoponto - Pedro Nunes,"Rua da Polka, nº 100. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5712273,-23.5825282,13,Ecoponto - Anhaia Mello,"Rua da Prece, nº 296, Altura do nº 2000 da Av. Prof. Luís Ignácio de Anhaia Mello. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5344086,-23.5991004,14,Ecoponto - São Lucas,"Rua Florêncio Sanches, nº 307 Próximo ao 70º Distrito Policial. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4972949,-23.6074938,15,Ecoponto - Sapopemba,"Rua Francesco Usper, nº 55. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5089169,-23.6232864,16,Ecoponto - Vila Cardoso Franco,"Rua dos Vorás, nº 25. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5247929,-23.5498743,17,Ecoponto - Astarte,"Astarte — Rua Astarte X Av. Aricanduva. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6085623,-23.5691131,18,Ecoponto- Tereza Cristina,"Rua Tereza Cristina, nº 10 X Av. do Estado.Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4917575,-23.5565885,19,Ecoponto - Osvaldo Valle Cordeiro,"Av. Osvaldo Valle Cordeiro, altura do nº 420. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4321467,-23.5117153,20,Ecoponto - Itaqueruna,"Rua Domitila D’Abril s/nº x Av. Nordestina. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5089679,-23.5874519,21,Ecoponto - Nova York,"Rua Amélia Vanso Magnoli com as Ruas Olivia Trindade Pinto com Acácio Antunes. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.4130226,-23.5552664,22,Ecoponto - Guaiaponto,"Rua da Passagem Funda, 250. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.41696,-23.5099838,23,Ecoponto - Mãe Preta,"Praça Mãe Preta com a Av. Fernando Figueiredo Lins. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.3964288,-23.5862483,24,Ecoponto - Setor G,"Rua Alfonso Asturaro Setor G, altura do nº 600. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.3895157,-23.5012521,25,Ecoponto - Pesqueiro,"Rua Caiuas, nº18 x Avenida Itamerendiba. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
