x,y,gid,Name,description
"-46,6972509","-23,5432476",145,PEV - Rua Orós X Rua Dom Rosalvo ,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Orós x Rua Dom Rosalvo - Pinheiros."
"-46,6997206","-23,4815593",146,PEV - Subprefeitura Freguesia do Ó,"Materiais recicláveis: metal, papel, plástico e vidro. R. Marcelino Simões - Vila Cruz das Almas."
"-46,5981878","-23,5510523",147,PEV - Subprefeitura da Mooca ,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Taquari, 549 - Mooca."
"-46,6661356","-23,5116924",148,PEV - Subprefeitura Casa Verde,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Ordem e Progresso, 1044 - Jardim das Laranjeiras."
"-46,7034817","-23,5626543",149,PEV - Subprefeitura de Pinheiros ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Professor Frederico Hermann Júnior, 653 - Alto de Pinheiros."
"-46,6046867","-23,4810509",150,PEV - Subprefeitura Tucuruvi ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Tucuruvi, 757 - Tucuruvi."
"-46,7126608","-23,4952792",151,PEV - UBS Moinho Velho ,"Materiais recicláveis: metal, papel, plástico e vidro.  Praça Domingos Coelho 5  - Vila Pereira Cerca."
"-46,5612566","-23,548963",152,PEV - UBS Vila Santo Estevão,"Materiais recicláveis: metal, papel, plástico e vidro. R. Antônio Camardo, 678 - Vila Gomes Cardim."
"-46,6661819","-23,5291936",153,PEV - Uninove,"Materiais recicláveis: metal, papel, plástico e vidro. Avenida Doutor Adolfo Pinto, 109 - Barra Funda."
"-46,6365016","-23,5443809",154,PEV - Vale do Anhangabáu,"Materiais recicláveis: metal, papel, plástico e vidro. Vale do Anhangabaú - Centro."
"-46,6132745","-23,496752",155,PEV - Praça Nogueira Acioli,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Viri X Rua Pedro Ribeiro - Santana."
"-46,6389933","-23,4752625",156,PEV - Praça Ver. Antonio Sampaio,"Materiais recicláveis: metal, papel, plástico e vidro.    Av. Direitos Humanos X Av. Ultramarino - Tucuruvi/Santana."
"-46,5752859","-23,4311749",157,PEV - Praça Nova Paulista,"Materiais recicláveis: metal, papel, plástico e vidro.  Av. Nova Paulista - Jardim Flor de Maio."
"-46,7530447","-23,4072785",158,PEV - Subprefeitura Perus,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Ylídio Figueiredo X Rua José Gomes Segurado - Perus."
"-46,77424","-23,632776",159,PEV - Biblioteca Helena Silveira,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Joao Batista Reimao, 146 - Campo Limpo."
"-46,79381","-23,686292",160,PEV - CEU Feitiço da Vila,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Feitiço da Vila, 399 - Chácara Santa Maria."
"-46,7847293","-23,6685467",161,PEV - Cond. Village Las Palmas,"Materiais recicláveis: metal, papel, plástico e vidro. Estrada de Itapecerica, 6520 - Vila das Belezas."
"-46,7546885","-23,6293862",162,PEV - EE Dr. Helio Motta,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Canori, 30 - Jardim Olinda."
"-46,7280051","-23,6215451",163,PEV - Etec Paraísopolis ,"Materiais recicláveis: metal, papel, plástico e vidro. R. Dr. José Augusto de Souza e Silva, s/n - Jardim Parque Morumbi."
"-46,7684349","-23,6661855",164,PEV - Guarda Civil Metropolitana,"Materiais recicláveis: metal, papel, plástico e vidro. R. Manoel José Pereira, 300 - Capão Redondo."
"-46,721457","-23,6322",165,PEV - Parque Burle Marx,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Doná Helena Pereira de Morães, s/n - Parque do Morumbi."
"-46,7731059","-23,6640204",166,PEV - Parque Santo Dias,"Materiais recicláveis: metal, papel, plástico e vidro. R. Arroio das Caneleiras, s/n - Conj. Hab. Instituto Adventista -  Campo Limpo ."
